feature,importance,std
time_to_close_or_cancel,0.31080419725436526,0.012430605023331784
regulatory_review,0.026175663745652618,0.003683537097282286
antitrust_risk_proxy,0.012901639441393198,0.002767440109489808
cross_border_deal,0.012662566581939523,0.0026284618188089177
interest_rate_proxy,0.005298411513417182,0.0015228916496764493
rumor_or_leak_indicator,0.0036367514531009024,0.000760782739815046
payment_method,0.002010937509257841,0.001318683538792167
public_acquirer,0.0018832542348780513,0.0012430271858918753
deal_value_log,0.0016415151353561827,0.0011502980341289838
election_year,0.0014649507930583653,0.0009512643864631429
months_to_election,0.0012697227702826923,0.0005261487156634383
market_volatility_proxy,0.0007489172102834211,0.00020794182542178995
public_target,0.0006404901141744264,0.0005223277198423272
transition_year,0.0004334121355398383,0.0003804897010511672
industry,0.00029091641633639164,0.00035411422574622135
new_president_year,0.00012057330086453858,0.0001877890886465024
months_after_election,-0.00017656434229776548,0.00026785782659538576
sector,-0.0016980986745823638,0.0014641472259391388
